employee_id,employee_age,employee_gender,department,job_role,monthly_income,years_at_company,years_in_current_role,actual_conversion,predicted_conversion
5665,53.0,0.0,2.0,1.0,74817,1.0,9.0,0,0
2273,62.0,0.0,3.0,1.0,77838,12.0,5.0,0,0
5755,20.0,1.0,1.0,0.0,35669,7.0,10.0,0,0
12131,57.0,1.0,3.0,2.0,139414,9.0,4.0,1,1
15458,39.0,1.0,0.0,0.0,124800,13.0,10.0,1,1
17953,18.0,1.0,4.0,2.0,148949,15.0,9.0,1,1
16074,30.0,1.0,3.0,2.0,59715,20.0,9.0,0,0
4065,21.0,0.0,1.0,3.0,104814,1.0,7.0,1,1
10632,33.0,0.0,3.0,1.0,61363,14.0,7.0,0,0
2536,37.0,0.0,3.0,2.0,115113,19.0,4.0,1,1
75,,,,,49458,,,0,0
16905,63.0,0.0,3.0,3.0,104966,3.0,4.0,0,1
10972,36.0,0.0,2.0,0.0,132501,12.0,2.0,1,1
3769,55.0,1.0,1.0,1.0,48490,8.0,4.0,0,0
10623,32.0,1.0,3.0,1.0,138778,8.0,1.0,1,1
11367,27.0,1.0,3.0,1.0,83020,9.0,6.0,0,0
4884,59.0,1.0,1.0,3.0,32101,12.0,4.0,0,0
12402,19.0,0.0,1.0,1.0,72532,19.0,9.0,0,0
11959,59.0,0.0,0.0,1.0,35063,3.0,5.0,0,0
16587,46.0,1.0,2.0,0.0,102357,20.0,3.0,1,1
17916,24.0,0.0,0.0,1.0,129870,15.0,4.0,1,1
2311,49.0,1.0,2.0,0.0,105305,3.0,8.0,1,1
34,,,,,55659,,,0,0
17134,48.0,1.0,3.0,1.0,80242,11.0,9.0,0,0
1944,31.0,1.0,2.0,1.0,62914,4.0,9.0,0,0
296,,,,,81664,,,0,0
8040,35.0,1.0,0.0,1.0,127625,5.0,7.0,1,1
19965,50.0,1.0,3.0,2.0,62684,6.0,6.0,0,0
17530,22.0,1.0,4.0,3.0,132202,15.0,6.0,1,1
10762,40.0,1.0,0.0,0.0,68170,14.0,8.0,0,0
9707,28.0,1.0,3.0,2.0,40387,9.0,6.0,0,0
6693,53.0,0.0,0.0,0.0,76923,6.0,7.0,0,0
12185,24.0,0.0,1.0,3.0,50370,17.0,9.0,0,0
12930,49.0,1.0,1.0,0.0,83518,16.0,7.0,0,0
14051,19.0,1.0,1.0,1.0,75483,8.0,3.0,0,0
16229,38.0,1.0,1.0,1.0,87501,3.0,10.0,1,0
15162,28.0,0.0,1.0,0.0,88106,13.0,1.0,0,0
5754,56.0,0.0,1.0,2.0,68507,18.0,9.0,0,0
13294,65.0,1.0,2.0,0.0,147359,9.0,3.0,1,1
2350,47.0,1.0,2.0,3.0,92769,9.0,1.0,1,1
7289,58.0,1.0,1.0,0.0,45973,1.0,8.0,0,0
9556,30.0,1.0,3.0,3.0,104500,10.0,10.0,1,1
6185,25.0,1.0,1.0,2.0,32104,15.0,3.0,0,0
8911,26.0,0.0,0.0,2.0,85422,17.0,5.0,0,0
15576,24.0,1.0,0.0,1.0,95351,17.0,4.0,1,1
4720,33.0,1.0,4.0,3.0,76102,7.0,3.0,0,0
12212,45.0,0.0,1.0,3.0,126652,15.0,9.0,1,1
14233,21.0,1.0,3.0,3.0,104490,5.0,7.0,1,1
15646,20.0,1.0,3.0,0.0,40221,13.0,1.0,0,0
17254,63.0,1.0,0.0,1.0,36841,8.0,7.0,0,0
18176,26.0,1.0,3.0,0.0,144464,7.0,9.0,1,1
1833,20.0,0.0,3.0,2.0,148682,19.0,8.0,1,1
13562,48.0,1.0,3.0,0.0,96102,7.0,5.0,1,1
11505,38.0,0.0,4.0,0.0,52785,14.0,9.0,0,0
8814,64.0,1.0,4.0,1.0,134128,13.0,10.0,1,1
1290,62.0,1.0,0.0,0.0,38513,5.0,9.0,0,0
17855,23.0,0.0,1.0,0.0,58177,2.0,1.0,0,0
3332,40.0,0.0,3.0,3.0,52169,15.0,9.0,0,0
16588,65.0,0.0,3.0,0.0,84699,5.0,5.0,0,0
13827,62.0,0.0,0.0,2.0,108211,3.0,5.0,1,1
15188,49.0,0.0,4.0,1.0,38329,14.0,6.0,0,0
15212,56.0,1.0,4.0,3.0,109100,8.0,8.0,1,1
4251,58.0,1.0,1.0,2.0,112910,10.0,6.0,1,1
764,,,,,135956,,,1,1
11815,42.0,0.0,3.0,1.0,40482,3.0,7.0,0,0
11157,53.0,0.0,2.0,2.0,58252,5.0,1.0,0,0
1847,65.0,1.0,4.0,0.0,74814,8.0,10.0,0,0
5175,47.0,1.0,0.0,0.0,122765,4.0,3.0,1,1
2595,28.0,1.0,4.0,2.0,109142,5.0,7.0,1,1
3235,64.0,1.0,3.0,2.0,79231,15.0,4.0,0,0
5068,28.0,0.0,2.0,2.0,123419,1.0,2.0,1,1
13848,64.0,0.0,0.0,0.0,101128,14.0,4.0,1,1
14031,38.0,0.0,1.0,0.0,95093,17.0,1.0,1,1
11365,57.0,0.0,2.0,1.0,56740,2.0,10.0,0,0
8492,49.0,0.0,1.0,2.0,125559,13.0,5.0,1,1
12893,33.0,0.0,1.0,0.0,87033,2.0,6.0,0,0
16930,63.0,0.0,1.0,2.0,103433,14.0,3.0,1,1
18957,42.0,1.0,2.0,1.0,90956,16.0,7.0,1,1
6837,65.0,1.0,1.0,0.0,109535,1.0,3.0,1,1
18539,65.0,1.0,1.0,2.0,145674,19.0,6.0,1,1
7322,39.0,1.0,4.0,3.0,50324,10.0,2.0,0,0
11133,20.0,0.0,0.0,3.0,115375,17.0,2.0,1,1
2018,22.0,0.0,0.0,1.0,37288,4.0,5.0,0,0
18375,49.0,0.0,0.0,2.0,76903,1.0,8.0,0,0
18506,50.0,1.0,0.0,3.0,101521,3.0,5.0,1,1
1515,19.0,1.0,4.0,3.0,141256,11.0,9.0,1,1
8207,34.0,0.0,3.0,2.0,59321,17.0,5.0,0,0
15158,64.0,0.0,2.0,3.0,58811,7.0,2.0,0,0
7146,44.0,0.0,3.0,2.0,88820,7.0,4.0,0,0
18386,40.0,0.0,2.0,2.0,51410,3.0,7.0,1,0
3516,65.0,0.0,2.0,3.0,140385,15.0,1.0,1,1
13362,57.0,0.0,0.0,2.0,90185,20.0,4.0,0,0
10456,25.0,0.0,4.0,1.0,46560,3.0,8.0,0,0
19907,32.0,1.0,0.0,2.0,73149,11.0,9.0,0,0
4019,28.0,1.0,0.0,2.0,102767,20.0,3.0,1,1
19948,43.0,1.0,4.0,1.0,90747,1.0,5.0,1,1
19013,18.0,0.0,0.0,0.0,47176,17.0,1.0,0,0
9200,18.0,0.0,0.0,1.0,139322,4.0,7.0,1,1
6594,28.0,0.0,0.0,3.0,102780,15.0,7.0,1,1
6123,55.0,1.0,2.0,3.0,102076,15.0,4.0,1,1
5739,24.0,0.0,4.0,2.0,122709,11.0,8.0,1,1
11192,21.0,1.0,2.0,1.0,110104,9.0,8.0,1,1
9213,60.0,0.0,4.0,2.0,107535,14.0,7.0,1,1
9658,52.0,1.0,0.0,0.0,109316,3.0,8.0,1,1
7676,63.0,0.0,1.0,0.0,32036,13.0,1.0,0,0
14178,25.0,0.0,3.0,0.0,127912,19.0,1.0,1,1
11453,51.0,1.0,0.0,2.0,31215,18.0,1.0,0,0
18670,27.0,0.0,1.0,2.0,77665,4.0,5.0,0,0
5990,46.0,0.0,4.0,2.0,73950,16.0,8.0,0,0
12567,29.0,1.0,1.0,0.0,100200,18.0,10.0,1,1
2896,57.0,0.0,3.0,0.0,103380,6.0,5.0,1,1
3589,30.0,1.0,1.0,0.0,111907,10.0,2.0,1,1
17121,19.0,0.0,2.0,0.0,30945,3.0,9.0,0,0
12142,65.0,0.0,4.0,0.0,32764,6.0,9.0,0,0
2199,27.0,0.0,1.0,3.0,98879,17.0,5.0,1,1
3024,42.0,0.0,0.0,3.0,61751,10.0,1.0,0,0
6134,26.0,0.0,1.0,2.0,106281,2.0,9.0,1,1
1587,46.0,1.0,3.0,0.0,82604,15.0,9.0,0,0
16539,25.0,1.0,2.0,2.0,60165,4.0,3.0,0,0
15099,62.0,1.0,0.0,0.0,113730,1.0,2.0,1,1
4694,23.0,0.0,1.0,2.0,65597,13.0,9.0,0,0
10670,30.0,0.0,4.0,0.0,33896,18.0,1.0,0,0
151,,,,,100593,,,1,1
13070,25.0,0.0,4.0,3.0,30365,7.0,8.0,0,0
9302,36.0,0.0,0.0,0.0,64776,17.0,10.0,0,0
16858,43.0,0.0,2.0,0.0,149405,15.0,8.0,1,1
12692,28.0,1.0,4.0,2.0,79229,10.0,7.0,0,0
13448,50.0,1.0,2.0,0.0,107780,15.0,1.0,1,1
18744,64.0,0.0,2.0,1.0,146309,5.0,1.0,1,1
14534,48.0,0.0,4.0,3.0,90521,6.0,9.0,0,1
887,,,,,49088,,,0,0
14143,55.0,1.0,1.0,2.0,51469,11.0,4.0,0,0
15341,61.0,0.0,1.0,3.0,117232,10.0,9.0,1,1
3145,43.0,0.0,4.0,1.0,126775,17.0,5.0,1,1
6723,46.0,0.0,3.0,2.0,105477,9.0,7.0,1,1
5026,36.0,1.0,4.0,2.0,138089,4.0,2.0,1,1
6888,62.0,0.0,4.0,2.0,55106,1.0,5.0,0,0
12292,49.0,1.0,4.0,0.0,128409,13.0,8.0,1,1
4026,25.0,0.0,0.0,0.0,108611,15.0,7.0,1,1
11889,49.0,1.0,0.0,0.0,125047,19.0,1.0,1,1
9604,19.0,1.0,1.0,2.0,61100,13.0,4.0,0,0
19485,22.0,1.0,0.0,2.0,65951,3.0,1.0,0,0
10687,20.0,1.0,1.0,3.0,94920,14.0,7.0,1,1
15462,58.0,0.0,4.0,0.0,118920,2.0,4.0,1,1
13837,59.0,0.0,2.0,0.0,89813,9.0,3.0,0,0
14624,27.0,0.0,1.0,1.0,61646,9.0,8.0,0,0
16589,57.0,0.0,4.0,1.0,131747,20.0,9.0,1,1
18343,26.0,1.0,3.0,2.0,46353,10.0,9.0,0,0
8482,22.0,1.0,3.0,0.0,146583,2.0,5.0,1,1
14595,39.0,0.0,4.0,1.0,37549,6.0,3.0,0,0
17831,18.0,1.0,0.0,3.0,51802,18.0,8.0,1,0
5537,32.0,1.0,0.0,2.0,119117,6.0,6.0,1,1
7807,55.0,0.0,2.0,1.0,72833,15.0,9.0,0,0
15770,22.0,1.0,1.0,3.0,91711,10.0,3.0,1,1
10436,58.0,0.0,2.0,1.0,94995,20.0,7.0,1,1
12713,44.0,0.0,1.0,1.0,142329,18.0,7.0,1,1
16995,59.0,0.0,0.0,1.0,145154,15.0,2.0,1,1
3570,18.0,1.0,0.0,3.0,38330,19.0,8.0,0,0
14822,35.0,0.0,2.0,0.0,50203,18.0,4.0,0,0
14561,43.0,1.0,2.0,3.0,98423,7.0,7.0,1,1
13883,38.0,1.0,2.0,3.0,123620,12.0,4.0,1,1
9414,42.0,1.0,1.0,0.0,126895,1.0,5.0,1,1
4137,59.0,1.0,1.0,3.0,41191,14.0,9.0,0,0
17971,36.0,1.0,4.0,0.0,140003,9.0,7.0,0,1
9929,20.0,1.0,1.0,1.0,134581,3.0,1.0,1,1
18774,64.0,0.0,4.0,2.0,88842,4.0,5.0,0,0
18022,29.0,1.0,4.0,0.0,30046,4.0,2.0,0,0
12341,58.0,1.0,3.0,3.0,130301,2.0,6.0,1,1
5834,39.0,1.0,3.0,2.0,135277,6.0,7.0,1,1
1425,44.0,1.0,0.0,3.0,44154,15.0,2.0,1,0
9983,32.0,0.0,4.0,1.0,105021,17.0,5.0,1,1
6238,19.0,0.0,3.0,2.0,62934,9.0,6.0,1,0
18146,54.0,1.0,1.0,2.0,123019,14.0,1.0,1,1
6089,47.0,1.0,1.0,0.0,75914,6.0,10.0,0,0
12353,54.0,0.0,3.0,1.0,147753,12.0,9.0,1,1
15545,56.0,1.0,0.0,1.0,36488,6.0,7.0,0,0
19598,60.0,1.0,3.0,1.0,98377,8.0,1.0,1,1
1014,23.0,0.0,4.0,3.0,72809,3.0,2.0,0,0
4911,32.0,1.0,2.0,1.0,45194,11.0,3.0,0,0
7835,46.0,0.0,4.0,0.0,99923,7.0,9.0,1,1
3262,21.0,0.0,4.0,0.0,118341,20.0,7.0,1,1
3973,20.0,1.0,3.0,1.0,86527,19.0,2.0,0,0
16792,65.0,1.0,1.0,1.0,136705,9.0,6.0,1,1
18647,18.0,0.0,2.0,0.0,148295,19.0,6.0,1,1
444,,,,,147859,,,1,1
6424,51.0,1.0,3.0,1.0,62102,6.0,8.0,0,0
18962,42.0,0.0,3.0,1.0,133317,14.0,4.0,1,1
8052,57.0,1.0,4.0,3.0,143605,7.0,3.0,1,1
18311,54.0,0.0,3.0,1.0,135247,7.0,3.0,1,1
12606,44.0,1.0,3.0,3.0,32487,4.0,6.0,1,0
12117,50.0,1.0,3.0,3.0,136630,16.0,1.0,1,1
18828,53.0,0.0,4.0,3.0,34124,1.0,1.0,0,0
2337,31.0,0.0,4.0,3.0,80070,12.0,2.0,0,0
7744,21.0,1.0,1.0,0.0,104329,3.0,8.0,1,1
664,,,,,99450,,,1,1
6869,30.0,0.0,1.0,0.0,70954,4.0,6.0,0,0
5821,23.0,1.0,4.0,1.0,32592,1.0,10.0,0,0
258,,,,,142860,,,1,1
6931,56.0,1.0,2.0,0.0,40957,12.0,8.0,0,0
19830,62.0,1.0,1.0,2.0,80803,12.0,6.0,0,0
4848,33.0,0.0,0.0,3.0,57748,9.0,7.0,0,0
2125,52.0,0.0,3.0,2.0,105419,17.0,4.0,1,1
7519,35.0,1.0,2.0,2.0,35248,11.0,8.0,0,0
3221,27.0,1.0,1.0,3.0,72081,16.0,8.0,0,0
14748,31.0,1.0,4.0,0.0,72460,15.0,9.0,0,0
16448,55.0,0.0,1.0,0.0,92224,12.0,6.0,1,1
7137,59.0,1.0,4.0,1.0,108271,3.0,4.0,1,1
14400,21.0,1.0,3.0,3.0,124410,18.0,8.0,1,1
19068,31.0,1.0,3.0,1.0,125931,11.0,1.0,1,1
15574,53.0,1.0,3.0,1.0,34747,13.0,4.0,0,0
12965,29.0,0.0,4.0,1.0,130212,19.0,5.0,1,1
14284,37.0,0.0,2.0,2.0,52552,6.0,1.0,0,0
18870,23.0,1.0,3.0,0.0,66661,19.0,1.0,0,0
16077,19.0,1.0,0.0,2.0,139335,1.0,8.0,1,1
1558,40.0,0.0,4.0,1.0,72461,18.0,2.0,0,0
10799,51.0,0.0,3.0,2.0,135290,8.0,1.0,1,1
17845,25.0,1.0,3.0,2.0,51731,6.0,3.0,0,0
1570,25.0,0.0,2.0,3.0,149772,11.0,10.0,1,1
12591,56.0,1.0,1.0,1.0,122642,17.0,3.0,0,1
7648,31.0,0.0,3.0,1.0,35595,6.0,4.0,0,0
15337,25.0,1.0,1.0,3.0,51214,8.0,10.0,0,0
16647,32.0,1.0,0.0,0.0,66650,3.0,6.0,0,0
1922,34.0,0.0,4.0,1.0,63040,3.0,9.0,0,0
1752,63.0,1.0,1.0,2.0,41047,18.0,1.0,0,0
16947,57.0,1.0,0.0,1.0,86965,2.0,4.0,0,0
12395,25.0,0.0,2.0,2.0,116030,15.0,7.0,1,1
16544,61.0,1.0,3.0,2.0,73272,11.0,9.0,0,0
15720,47.0,0.0,1.0,0.0,148020,13.0,4.0,1,1
12051,51.0,1.0,0.0,0.0,129668,7.0,3.0,1,1
17772,24.0,1.0,4.0,2.0,75925,18.0,3.0,0,0
19978,31.0,0.0,4.0,0.0,34643,20.0,10.0,0,0
1727,50.0,0.0,4.0,2.0,89053,6.0,4.0,0,0
625,,,,,127380,,,1,1
11552,59.0,0.0,0.0,0.0,80722,18.0,4.0,0,0
1885,46.0,0.0,3.0,1.0,86847,6.0,2.0,0,0
16696,54.0,1.0,4.0,1.0,125799,14.0,1.0,1,1
9373,47.0,1.0,0.0,1.0,124949,15.0,7.0,1,1
9379,25.0,1.0,4.0,1.0,148070,19.0,4.0,1,1
16196,19.0,0.0,4.0,1.0,54241,7.0,2.0,0,0
5412,51.0,0.0,2.0,3.0,55676,14.0,1.0,0,0
11407,56.0,1.0,4.0,2.0,35610,20.0,8.0,0,0
16942,57.0,1.0,3.0,3.0,84161,19.0,4.0,0,0
11949,19.0,0.0,3.0,2.0,55597,10.0,10.0,0,0
478,,,,,135865,,,1,1
2180,59.0,1.0,1.0,3.0,87373,12.0,7.0,0,0
19046,34.0,1.0,3.0,3.0,33812,15.0,2.0,0,0
440,,,,,126753,,,1,1
17273,62.0,0.0,3.0,2.0,106055,14.0,9.0,1,1
6352,36.0,1.0,3.0,1.0,121057,16.0,9.0,1,1
9491,42.0,1.0,3.0,3.0,41958,4.0,2.0,0,0
1151,65.0,0.0,4.0,2.0,48031,19.0,3.0,0,0
5070,56.0,0.0,1.0,3.0,123345,7.0,8.0,0,1
8921,21.0,1.0,0.0,2.0,46076,2.0,10.0,0,0
14149,56.0,1.0,4.0,2.0,81787,19.0,1.0,0,0
11084,58.0,0.0,2.0,3.0,113097,7.0,8.0,1,1
7199,47.0,0.0,3.0,3.0,121129,14.0,7.0,1,1
2792,25.0,1.0,4.0,3.0,120026,11.0,5.0,1,1
10596,65.0,0.0,2.0,1.0,59546,3.0,10.0,0,0
13363,33.0,1.0,3.0,1.0,95793,2.0,7.0,1,1
